"ID","frame","dates","direction","track","ifgm_url"
"us6000jqxc","027A_04994_131313","20230222_20230306","A","027","https://gws-access.jasmin.ac.uk/public/nceo_geohazards/LiCSAR_products/027/027A_04994_131313/interferograms/20230222_20230306/20230222_20230306.geo.diff_pha.tif"
"us6000jqxc","027A_05194_131313","20230222_20230306","A","027","https://gws-access.jasmin.ac.uk/public/nceo_geohazards/LiCSAR_products/027/027A_05194_131313/interferograms/20230222_20230306/20230222_20230306.geo.diff_pha.tif"
"us6000jqxc","100A_05236_141313","20221229_20230227","A","100","https://gws-access.jasmin.ac.uk/public/nceo_geohazards/LiCSAR_products/100/100A_05236_141313/interferograms/20221229_20230227/20221229_20230227.geo.diff_pha.tif"
"us6000jqxc","100A_05036_121313","20230215_20230323","A","100","https://gws-access.jasmin.ac.uk/public/nceo_geohazards/LiCSAR_products/100/100A_05036_121313/interferograms/20230215_20230323/20230215_20230323.geo.diff_pha.tif"
"us6000jqxc","100A_05036_121313","20230227_20230323","A","100","https://gws-access.jasmin.ac.uk/public/nceo_geohazards/LiCSAR_products/100/100A_05036_121313/interferograms/20230227_20230323/20230227_20230323.geo.diff_pha.tif"
"us6000jqxc","100A_05236_141313","20221229_20230227","A","100","https://gws-access.jasmin.ac.uk/public/nceo_geohazards/LiCSAR_products/100/100A_05236_141313/interferograms/20221229_20230227/20221229_20230227.geo.diff_pha.tif"
"us6000jqxc","100A_05236_141313","20230215_20230323","A","100","https://gws-access.jasmin.ac.uk/public/nceo_geohazards/LiCSAR_products/100/100A_05236_141313/interferograms/20230215_20230323/20230215_20230323.geo.diff_pha.tif"
"us6000jqxc","100A_05236_141313","20230203_20230323","A","100","https://gws-access.jasmin.ac.uk/public/nceo_geohazards/LiCSAR_products/100/100A_05236_141313/interferograms/20230203_20230323/20230203_20230323.geo.diff_pha.tif"
"us6000jqxc","100A_05236_141313","20230227_20230323","A","100","https://gws-access.jasmin.ac.uk/public/nceo_geohazards/LiCSAR_products/100/100A_05236_141313/interferograms/20230227_20230323/20230227_20230323.geo.diff_pha.tif"
"us6000jqxc","100A_05438_131313","20230227_20230323","A","100","https://gws-access.jasmin.ac.uk/public/nceo_geohazards/LiCSAR_products/100/100A_05438_131313/interferograms/20230227_20230323/20230227_20230323.geo.diff_pha.tif"
"us6000jqxc","100A_05438_131313","20230215_20230323","A","100","https://gws-access.jasmin.ac.uk/public/nceo_geohazards/LiCSAR_products/100/100A_05438_131313/interferograms/20230215_20230323/20230215_20230323.geo.diff_pha.tif"
"us6000jqxc","100A_05438_131313","20230203_20230323","A","100","https://gws-access.jasmin.ac.uk/public/nceo_geohazards/LiCSAR_products/100/100A_05438_131313/interferograms/20230203_20230323/20230203_20230323.geo.diff_pha.tif"
