Frame;dates;url;Direction;Observation;id;Wrapped.Interferogram
026D_07514_131212;20201116_20210121;https://gws-access.jasmin.ac.uk/public/nceo_geohazards/LiCSAR_products/26/026D_07514_131212/interferograms/20201116_20210121;D;Coseismic;us7000d0d0;https://gws-access.jasmin.ac.uk/public/nceo_geohazards/LiCSAR_products/26/026D_07514_131212/interferograms/20201116_20210121/20201116_20210121.geo.diff_pha.tif
026D_07514_131212;20201110_20201122;https://gws-access.jasmin.ac.uk/public/nceo_geohazards/LiCSAR_products/26/026D_07514_131212/interferograms/20201110_20201122;D;Preseismic;us7000d0d0;https://gws-access.jasmin.ac.uk/public/nceo_geohazards/LiCSAR_products/26/026D_07514_131212/interferograms/20201110_20201122/20201110_20201122.geo.diff_pha.tif
026D_07514_131212;20201128_20210121;https://gws-access.jasmin.ac.uk/public/nceo_geohazards/LiCSAR_products/26/026D_07514_131212/interferograms/20201128_20210121;D;Coseismic;us7000d0d0;https://gws-access.jasmin.ac.uk/public/nceo_geohazards/LiCSAR_products/26/026D_07514_131212/interferograms/20201128_20210121/20201128_20210121.geo.diff_pha.tif
026D_07514_131212;20201104_20201116;https://gws-access.jasmin.ac.uk/public/nceo_geohazards/LiCSAR_products/26/026D_07514_131212/interferograms/20201104_20201116;D;Preseismic;us7000d0d0;https://gws-access.jasmin.ac.uk/public/nceo_geohazards/LiCSAR_products/26/026D_07514_131212/interferograms/20201104_20201116/20201104_20201116.geo.diff_pha.tif
026D_07514_131212;20201104_20201122;https://gws-access.jasmin.ac.uk/public/nceo_geohazards/LiCSAR_products/26/026D_07514_131212/interferograms/20201104_20201122;D;Preseismic;us7000d0d0;https://gws-access.jasmin.ac.uk/public/nceo_geohazards/LiCSAR_products/26/026D_07514_131212/interferograms/20201104_20201122/20201104_20201122.geo.diff_pha.tif
026D_07514_131212;20201110_20210121;https://gws-access.jasmin.ac.uk/public/nceo_geohazards/LiCSAR_products/26/026D_07514_131212/interferograms/20201110_20210121;D;Coseismic;us7000d0d0;https://gws-access.jasmin.ac.uk/public/nceo_geohazards/LiCSAR_products/26/026D_07514_131212/interferograms/20201110_20210121/20201110_20210121.geo.diff_pha.tif
026D_07514_131212;20201110_20201116;https://gws-access.jasmin.ac.uk/public/nceo_geohazards/LiCSAR_products/26/026D_07514_131212/interferograms/20201110_20201116;D;Preseismic;us7000d0d0;https://gws-access.jasmin.ac.uk/public/nceo_geohazards/LiCSAR_products/26/026D_07514_131212/interferograms/20201110_20201116/20201110_20201116.geo.diff_pha.tif
026D_07514_131212;20201104_20210121;https://gws-access.jasmin.ac.uk/public/nceo_geohazards/LiCSAR_products/26/026D_07514_131212/interferograms/20201104_20210121;D;Coseismic;us7000d0d0;https://gws-access.jasmin.ac.uk/public/nceo_geohazards/LiCSAR_products/26/026D_07514_131212/interferograms/20201104_20210121/20201104_20210121.geo.diff_pha.tif
026D_07514_131212;20201104_20201110;https://gws-access.jasmin.ac.uk/public/nceo_geohazards/LiCSAR_products/26/026D_07514_131212/interferograms/20201104_20201110;D;Preseismic;us7000d0d0;https://gws-access.jasmin.ac.uk/public/nceo_geohazards/LiCSAR_products/26/026D_07514_131212/interferograms/20201104_20201110/20201104_20201110.geo.diff_pha.tif
034A_07541_000305;20210110_20210122;https://gws-access.jasmin.ac.uk/public/nceo_geohazards/LiCSAR_products/34/034A_07541_000305/interferograms/20210110_20210122;A;Coseismic;us7000d0d0;https://gws-access.jasmin.ac.uk/public/nceo_geohazards/LiCSAR_products/34/034A_07541_000305/interferograms/20210110_20210122/20210110_20210122.geo.diff_pha.tif
